date,event_hour,decision_time,max_forecast_issue_used,max_baseline_history_day,max_scenario_error_day,pass
2025-02-07,18,2025-02-07T18:00:00,2025-02-07T18:00:00,36,35,True
2025-02-08,0,2025-02-08T00:00:00,2025-02-08T00:00:00,37,36,True
2025-02-08,6,2025-02-08T06:00:00,2025-02-08T06:00:00,37,36,True
2025-02-08,12,2025-02-08T12:00:00,2025-02-08T12:00:00,37,36,True
2025-02-08,18,2025-02-08T18:00:00,2025-02-08T18:00:00,37,36,True
2025-02-09,0,2025-02-09T00:00:00,2025-02-09T00:00:00,38,37,True
2025-02-09,6,2025-02-09T06:00:00,2025-02-09T06:00:00,38,37,True
2025-02-09,12,2025-02-09T12:00:00,2025-02-09T12:00:00,38,37,True
2025-02-09,18,2025-02-09T18:00:00,2025-02-09T18:00:00,38,37,True
2025-02-10,0,2025-02-10T00:00:00,2025-02-10T00:00:00,39,38,True
2025-02-10,6,2025-02-10T06:00:00,2025-02-10T06:00:00,39,38,True
2025-02-10,12,2025-02-10T12:00:00,2025-02-10T12:00:00,39,38,True
2025-02-10,18,2025-02-10T18:00:00,2025-02-10T18:00:00,39,38,True
2025-02-11,0,2025-02-11T00:00:00,2025-02-11T00:00:00,40,39,True
2025-02-11,6,2025-02-11T06:00:00,2025-02-11T06:00:00,40,39,True
2025-02-11,12,2025-02-11T12:00:00,2025-02-11T12:00:00,40,39,True
2025-02-11,18,2025-02-11T18:00:00,2025-02-11T18:00:00,40,39,True
2025-02-12,0,2025-02-12T00:00:00,2025-02-12T00:00:00,41,40,True
2025-02-12,6,2025-02-12T06:00:00,2025-02-12T06:00:00,41,40,True
2025-02-12,12,2025-02-12T12:00:00,2025-02-12T12:00:00,41,40,True
2025-02-12,18,2025-02-12T18:00:00,2025-02-12T18:00:00,41,40,True
2025-02-13,0,2025-02-13T00:00:00,2025-02-13T00:00:00,42,41,True
2025-02-13,6,2025-02-13T06:00:00,2025-02-13T06:00:00,42,41,True
2025-02-13,12,2025-02-13T12:00:00,2025-02-13T12:00:00,42,41,True
2025-02-13,18,2025-02-13T18:00:00,2025-02-13T18:00:00,42,41,True
2025-02-14,0,2025-02-14T00:00:00,2025-02-14T00:00:00,43,42,True
2025-02-14,6,2025-02-14T06:00:00,2025-02-14T06:00:00,43,42,True
2025-02-14,12,2025-02-14T12:00:00,2025-02-14T12:00:00,43,42,True
2025-02-14,18,2025-02-14T18:00:00,2025-02-14T18:00:00,43,42,True
2025-02-15,0,2025-02-15T00:00:00,2025-02-15T00:00:00,44,43,True
2025-02-15,6,2025-02-15T06:00:00,2025-02-15T06:00:00,44,43,True
2025-02-15,12,2025-02-15T12:00:00,2025-02-15T12:00:00,44,43,True
2025-02-15,18,2025-02-15T18:00:00,2025-02-15T18:00:00,44,43,True
2025-02-16,0,2025-02-16T00:00:00,2025-02-16T00:00:00,45,44,True
2025-02-16,6,2025-02-16T06:00:00,2025-02-16T06:00:00,45,44,True
2025-02-16,12,2025-02-16T12:00:00,2025-02-16T12:00:00,45,44,True
2025-02-16,18,2025-02-16T18:00:00,2025-02-16T18:00:00,45,44,True
