strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-05,6,89,15:00-15:10,404.05643806584476,921.679041872431,517.6226038065862,True
D,2025-01-05,6,90,15:10-15:20,1110.008860185185,1103.5235185185184,-6.485341666666727,True
D,2025-01-05,12,71,12:00-12:10,696.202788888889,669.8939722222224,-26.308816666666644,True
D,2025-01-05,12,72,12:10-12:20,628.4027212962964,580.0642324074074,-48.338488888888946,True
D,2025-01-05,12,73,12:20-12:30,669.9675370370376,599.5993759259262,-70.36816111111136,True
D,2025-01-05,12,74,12:30-12:40,785.4152657407406,693.017432407407,-92.39783333333355,True
D,2025-01-05,12,75,12:40-12:50,791.4268370370368,676.9993314814812,-114.42750555555551,True
D,2025-01-05,12,76,12:50-13:00,646.9148690202952,635.0398157407406,-11.875053279554663,True
D,2025-01-05,12,89,15:00-15:10,921.679041872431,1074.5247703703703,152.84572849793938,True
D,2025-01-05,12,90,15:10-15:20,1103.5235185185184,1094.553135185185,-8.970383333333302,True
D,2025-01-05,12,91,15:20-15:30,273.5549222222226,747.0443597610353,473.48943753881264,True
D,2025-01-05,12,101,17:00-17:10,586.0396055555556,586.0437055555554,0.0040999999998803105,True
D,2025-01-05,12,102,17:10-17:20,583.018591666667,583.0220083333336,0.0034166666665669254,True
D,2025-01-05,12,103,17:20-17:30,603.9786740740742,603.9814074074077,0.002733333333480914,True
D,2025-01-05,12,104,17:30-17:40,602.365312037037,602.3673620370369,0.0020499999998264684,True
D,2025-01-05,12,105,17:40-17:50,566.7197925925926,566.7211592592594,0.001366666666740457,True
D,2025-01-05,12,106,17:50-18:00,576.4331805555557,576.4338638888889,0.0006833333331996982,True
D,2025-01-05,18,107,18:00-18:10,0.0,587.2128888888889,587.2128888888889,True
D,2025-01-05,18,108,18:10-18:20,0.0,238.9985982521061,238.9985982521061,True
D,2025-01-05,18,109,18:20-18:30,0.0,529.4711814814815,529.4711814814815,True
D,2025-01-05,18,110,18:30-18:40,0.0,581.4891296296297,581.4891296296297,True
D,2025-01-05,18,111,18:40-18:50,0.0,527.7763574074074,527.7763574074074,True
