strategy,date,event_hour,slot_j,slot_label,old_kwh,new_kwh,delta_kwh,legal
D,2025-01-02,6,36,6:10-6:20,73.30650555555553,73.30228888888882,-0.0042166666667071695,True
D,2025-01-02,6,37,6:20-6:30,885.7954777777777,885.7870444444444,-0.008433333333300652,True
D,2025-01-02,6,38,6:30-6:40,899.4399666666666,899.4273166666666,-0.012650000000007822,True
D,2025-01-02,6,39,6:40-6:50,907.1934055555556,907.1765388888889,-0.01686666666671499,True
D,2025-01-02,6,40,6:50-7:00,906.5167777777776,906.4956944444443,-0.021083333333308474,True
D,2025-01-02,6,41,7:0-7:10,904.5449333333333,904.5196333333333,-0.025300000000015643,True
D,2025-01-02,6,42,7:10-7:20,867.7543333333332,866.9429305555554,-0.8114027777777437,True
D,2025-01-02,6,43,7:20-7:30,1023.6606851851831,1022.0631796296275,-1.5975055555555855,True
D,2025-01-02,6,44,7:30-7:40,1626.7422333333332,1624.3586249999998,-2.3836083333333136,True
D,2025-01-02,6,45,7:40-7:50,1562.91325,1559.743538888889,-3.1697111111111553,True
D,2025-01-02,6,46,7:50-8:00,815.96315,812.0073361111112,-3.9558138888888834,True
D,2025-01-02,6,47,8:00-8:10,148.54453333333333,143.80261666666672,-4.7419166666666115,True
D,2025-01-02,6,48,8:10-8:20,134.69719444444468,123.65613888888902,-11.041055555555658,True
D,2025-01-02,6,49,8:20-8:30,54.63345555555543,37.293261111111065,-17.340194444444364,True
D,2025-01-02,6,50,8:30-8:40,13.610166666666714,0.0,-13.610166666666714,True
D,2025-01-02,6,56,9:30-9:40,179.64427760395574,0.0,-179.64427760395574,True
D,2025-01-02,6,57,9:40-9:50,658.1572166666667,569.6243000000001,-88.53291666666667,True
D,2025-01-02,6,58,9:50-10:00,639.82765,529.3749720483995,-110.45267795160044,True
D,2025-01-02,6,61,10:20-10:30,519.0128555555555,0.0,-519.0128555555555,True
D,2025-01-02,6,62,10:30-10:40,468.82090000000005,379.74389166666674,-89.07700833333331,True
D,2025-01-02,6,64,10:50-11:00,439.78762222222224,365.67994166666676,-74.10768055555548,True
D,2025-01-02,6,65,11:00-11:10,1231.4835666666668,1164.8605499999999,-66.6230166666669,True
D,2025-01-02,6,66,11:10-11:20,1211.4106666666667,1138.0763749999999,-73.33429166666679,True
D,2025-01-02,6,67,11:20-11:30,1211.0800166666666,1131.0344499999999,-80.04556666666667,True
D,2025-01-02,6,68,11:30-11:40,1216.3797,1129.6228583333332,-86.75684166666679,True
