date,slot_i,start,price,contract_kwh,net_actual_kwh,charge_kwh,discharge_kwh,emergency_kwh,curtail_kwh,soc_start,soc_end,soc_balance_residual,power_balance_slack,grid_import_kwh,unused_contract_kwh,pv_curtail_kwh,supply_surplus_kwh,battery_dump_kwh,physical_balance_residual,execution_mode
2025-08-19,26,04:20,0.4389,806.8925666666667,663.74035,0.0,0.0,0.0,0.0,3795.3234394023248,3795.3234394023248,0.0,143.15221666666662,663.74035,143.15221666666662,0.0,143.15221666666662,0.0,0.0,measured_current_mpc
2025-08-19,27,04:30,0.4364,783.25,683.2283333333332,0.0,0.0,0.0,0.0,3795.3234394023248,3795.3234394023248,0.0,100.02166666666676,683.2283333333332,100.02166666666676,0.0,100.02166666666676,0.0,0.0,measured_current_mpc
2025-08-19,28,04:40,0.4393,729.8671999999999,709.5458833333333,0.0,0.0,0.0,0.0,3795.3234394023248,3795.3234394023248,0.0,20.321316666666576,709.5458833333333,20.321316666666576,0.0,20.321316666666576,0.0,0.0,measured_current_mpc
2025-08-19,29,04:50,0.4422,717.0218333333333,696.3887500000001,0.0,0.0,0.0,0.0,3795.3234394023248,3795.3234394023248,0.0,20.633083333333275,696.3887500000001,20.633083333333275,0.0,20.633083333333275,0.0,0.0,measured_current_mpc
2025-08-19,30,05:00,0.4395,765.79,653.3183333333333,112.47166666666669,0.0,0.0,0.0,3795.3234394023248,3902.023431072896,-8.526512829121202e-14,0.0,765.79,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,31,05:10,0.4333,814.7600694444445,640.7611666666666,173.99890277777797,0.0,0.0,0.0,3902.023431072896,4067.093284017289,-1.1368683772161603e-13,0.0,814.7600694444445,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,32,05:20,0.4439,782.6349888888888,660.8657166666667,121.76927222222207,0.0,0.0,0.0,4067.093284017289,4182.613758790278,1.1368683772161603e-13,0.0,782.6349888888888,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,33,05:30,0.4301,1522.713808333333,671.9929166666667,833.3333333333333,0.0,0.0,0.0,4182.613758790278,4973.183173832373,2.2737367544323206e-13,17.387558333333004,1505.3262499999998,17.387558333333118,0.0,17.387558333333118,0.0,-1.1368683772161603e-13,measured_current_mpc
2025-08-19,34,05:40,0.3713,1473.2675444444444,619.1906333333333,833.3333333333333,0.0,0.0,0.0,4973.183173832373,5763.752588874468,2.2737367544323206e-13,20.743577777777887,1452.5239666666664,20.743577777778,0.0,20.743577777778,0.0,-1.1368683772161603e-13,measured_current_mpc
2025-08-19,35,05:50,0.5708,0.0,625.9560833333333,0.0,625.9560833333333,2.842170943040401e-14,0.0,5763.752588874468,5103.936942683969,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,36,06:00,0.9099,-0.0,678.7058333333334,0.0,678.7058333333334,0.0,5.684341886080802e-14,5103.936942683969,4388.5181778253145,-3.410605131648481e-13,0.0,0.0,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,-5.684341886080802e-14,measured_current_mpc
2025-08-19,37,06:10,0.9368,-0.0,640.6296333333332,0.0,640.6296333333332,5.684341886080802e-14,0.0,4388.5181778253145,3713.235251848028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,38,06:20,0.8758,-0.0,583.79625,0.0,583.79625,0.0,2.842170943040401e-14,3713.235251848028,3097.8599720263364,-1.1368683772161603e-13,0.0,0.0,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,-2.842170943040401e-14,measured_current_mpc
2025-08-19,39,06:30,0.8759,-0.0,540.1141666666667,0.0,540.1141666666667,0.0,5.684341886080802e-14,3097.8599720263364,2528.5296509628497,2.2737367544323206e-13,0.0,0.0,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,-5.684341886080802e-14,measured_current_mpc
2025-08-19,40,06:40,0.8601,-0.0,467.97200000000004,0.0,467.97200000000004,0.0,0.0,2528.5296509628497,2035.2438505680775,1.1368683772161603e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,41,06:50,0.8442,-0.0,406.7846166666666,0.0,406.7846166666666,0.0,0.0,2035.2438505680775,1606.4552153063582,-5.684341886080802e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
2025-08-19,42,07:00,0.8334,47.976684378416564,367.8420833333333,0.0,22.755396349279415,297.1100026056373,0.0,1606.4552153063582,1582.468921465157,0.0,0.0,47.976684378416564,0.0,0.0,0.0,0.0,0.0,measured_current_mpc
