strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time
D,2025-04-22,12,6339.531195520617,3,3,29599.521745293,0.01902890000201296,9.094947017729282e-13,1.1368683772161603e-13,109,2025-04-23 00:10:00
D,2025-04-22,18,10709.21874115768,3,1,26830.532855889083,0.01892740000039339,1.8189894035458565e-12,1.1368683772161603e-13,109,2025-04-23 00:10:00
D,2025-04-23,0,1375.450999179653,3,9,28285.92279302345,0.02335040000252775,1.8189894035458565e-12,2.5011104298755527e-12,110,
D,2025-04-23,6,7931.759956708443,3,6,33703.82392707484,0.019193100000848062,1.8189894035458565e-12,1.1368683772161603e-13,110,2025-04-24 00:10:00
D,2025-04-23,12,5986.576266318051,3,3,30722.497635726984,0.020719600001029903,9.094947017729282e-13,1.1368683772161603e-13,110,2025-04-24 00:10:00
D,2025-04-23,18,10745.465362011635,3,1,27158.16896068167,0.016917600001761457,9.094947017729282e-13,1.1368683772161603e-13,110,2025-04-24 00:10:00
D,2025-04-24,0,1740.4226225611615,3,9,29202.890852445857,0.024241499999334337,1.8189894035458565e-12,2.1600499167107046e-12,111,
D,2025-04-24,6,9190.929498996587,3,6,30115.23107449784,0.017683399997622473,9.094947017729282e-13,1.1368683772161603e-13,111,2025-04-25 00:10:00
D,2025-04-24,12,6288.27163204349,3,3,29560.812066173025,0.018512300001020776,9.094947017729282e-13,1.1368683772161603e-13,111,2025-04-25 00:10:00
D,2025-04-24,18,10795.942858065833,3,1,24365.769941860563,0.015812300000106916,9.094947017729282e-13,2.2737367544323206e-13,111,2025-04-25 00:10:00
D,2025-04-25,0,2166.0178533295816,3,9,22960.807938964463,0.02216520000001765,1.8189894035458565e-12,7.958078640513122e-13,112,
D,2025-04-25,6,9024.51102173917,3,6,22776.24614440859,0.016837600000144448,9.094947017729282e-13,5.684341886080802e-14,112,2025-04-26 00:10:00
D,2025-04-25,12,10800.0,3,3,17766.70768455502,0.016775699998106575,1.8189894035458565e-12,5.684341886080802e-14,112,2025-04-26 00:10:00
D,2025-04-25,18,9879.3878630223,3,1,16240.542579626288,0.014835300000413554,9.094947017729282e-13,1.1368683772161603e-13,112,2025-04-26 00:10:00
D,2025-04-26,0,3332.3442283175245,3,9,22388.65394819133,0.02477340000041295,9.094947017729282e-13,1.0231815394945443e-12,113,
D,2025-04-26,6,8932.855611187146,3,6,23489.46809515853,0.015912399998342153,0.0,1.1368683772161603e-13,113,2025-04-27 00:10:00
D,2025-04-26,12,10800.0,3,3,22360.842621916014,0.017892500000016298,9.094947017729282e-13,1.1368683772161603e-13,113,2025-04-27 00:10:00
D,2025-04-26,18,9970.393558851274,3,1,20980.53474931978,0.014586299999791663,4.547473508864641e-13,1.1368683772161603e-13,113,2025-04-27 00:10:00
D,2025-04-27,0,3760.1919050778415,3,9,28439.506847778775,0.024481099997501587,1.8189894035458565e-12,5.684341886080801e-13,114,
D,2025-04-27,6,7926.667378225626,3,6,28436.73183903809,0.0177932000005967,9.094947017729282e-13,1.1368683772161603e-13,114,2025-04-28 00:10:00
D,2025-04-27,12,6049.636363462437,3,3,28656.569703675097,0.017859799998404924,9.094947017729282e-13,1.1368683772161603e-13,114,2025-04-28 00:10:00
D,2025-04-27,18,10270.391044583608,3,1,31137.21368740471,0.015768400000524707,1.8189894035458565e-12,1.1368683772161603e-13,114,2025-04-28 00:10:00
D,2025-04-28,0,2774.950344452749,3,9,32948.49992635415,0.027951299998676404,1.8189894035458565e-12,7.958078640513122e-13,115,
D,2025-04-28,6,9037.116310165557,3,6,37638.34144630924,0.02007690000027651,9.094947017729282e-13,1.7053025658242404e-13,115,2025-04-29 00:10:00
