date,plan_kwh,plan_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,curtailment_kwh,soc_00_kwh,soc_24_kwh,load_mae_kw,pv_mae_kw,net_mae_kw,scenario_count,pred_expected_emergency_cost,pred_cvar_cost
2025-02-01,44326.886351876485,25070.628364741857,0.0,0.0,25070.628364741857,12065.87305691109,13278.494070654036,11228.496265619433,10785.06334214753,8234.993867534266,365.73204114583376,70.83871524305559,408.3224711111116,9,4072.2186100497233,18324.983745223755
2025-02-02,71889.10364238106,44445.81048317217,6383.788462787614,34317.8997501787,78763.71023335087,18530.406376559753,18746.4184974096,127.41552601851845,8234.993867534266,6054.020762223359,542.6325869444439,140.52151680555562,406.09833784722156,9,4509.885230968774,20294.48353935948
2025-02-03,88169.57448965518,56581.20901992114,0.0,0.0,56581.20901992114,21155.773332532415,18216.16607717701,5052.790914855323,6054.020762223359,6922.624566881346,117.00837069444466,87.02842618055554,172.7929178472224,9,4670.255274342188,21016.14873453985
2025-02-04,88340.25151895062,56984.87812261359,0.0,0.0,56984.87812261359,21473.49917049728,19320.44517288973,4946.315265787519,6922.624566881346,6928.637195721283,165.3183531597227,81.67551541666666,179.6657814236115,9,4580.244764035954,20611.101438161793
2025-02-05,87942.18685742267,56293.672910711655,0.0,0.0,56293.672910711655,21807.859504823566,18857.363529952017,4216.738149217803,6928.637195721283,7739.982800699151,119.66997253472255,89.80194194444441,155.28311142361136,9,4609.681091101004,20743.56490995452
2025-02-06,86820.14438301072,56144.85487883257,0.0,0.0,56144.85487883257,19596.79511129343,18233.03416303855,5140.147593089161,7739.982800699151,7111.829481146639,124.66804486111138,67.30135628472222,172.4821900347225,9,4614.433916892082,20764.952626014372
2025-02-07,61392.15372381435,36479.31969237321,0.0,0.0,36479.31969237321,14239.713812212398,10107.053901635521,25463.121313237476,7111.829481146639,9967.03788939186,954.7875232291672,169.95095416666666,1086.5770487847228,9,4290.134223441495,19305.60400548673
2025-02-08,40098.83816592855,22470.754049964606,0.0,0.0,22470.754049964606,12568.8251490418,13492.014943655726,9494.744577209141,9967.03788939186,7669.039902078265,246.25545420138923,129.69237586805554,334.0754712500003,9,3911.392335538391,17601.26550992276
2025-02-09,67791.18145459976,41424.498314386525,11702.516493458652,61420.23555507999,102844.73386946652,16238.202985739821,16277.626254348066,0.0,7669.039902078265,5915.8272434385635,641.9294921874994,121.87961194444446,659.9766330208327,9,4387.30770569673,19742.884675635287
2025-02-10,86019.18333641559,54918.129944638,0.0,0.0,54918.129944638,18710.727703128494,16292.62669850421,9324.107873457971,5915.8272434385635,6492.445631720031,111.34300638888907,219.59797833333332,306.90460284722263,9,4607.273918016099,20732.732631072446
2025-02-11,83459.69434104586,52960.46892793149,0.0,0.0,52960.46892793149,21246.01338323715,18172.04224789924,5088.030030707963,6492.445631720031,7493.169265165552,93.66542600694456,143.93310041666663,201.4102554513893,9,5289.868753361131,23804.40939012509
2025-02-12,84266.07125321426,53910.19429516664,0.0,0.0,53910.19429516664,19344.730272839486,17356.47253386055,7016.223964235338,7493.169265165552,7549.863329249441,99.31234937500014,148.2028198611111,221.11626527777807,9,4561.785963827154,20528.036837222193
2025-02-13,83051.56823375827,53283.09505956408,0.0,0.0,53283.09505956408,16138.734751422558,15118.97348361364,10672.651490949347,7549.863329249441,6923.614075621598,109.70694076388908,281.69424704861115,372.26023975694477,9,4599.339686486833,20697.028589190748
2025-02-14,55803.30396126049,32767.73402523301,0.0,0.0,32767.73402523301,15204.28828285798,10200.4972449617,21020.609231697537,6923.614075621598,10595.40024153026,883.1643619444449,118.65412833333338,905.4625475000004,9,4181.692198400155,18817.614892800695
2025-02-15,36743.47099338134,20667.47254113386,0.0,0.0,20667.47254113386,11921.349174977091,13494.652113750635,9087.352248821557,10595.40024153026,7680.372790373422,211.3047608680559,98.84743114583331,301.3367752083337,9,3723.1928516537146,16754.367832441716
2025-02-16,65733.2396161237,39908.22554946813,9520.014631206835,49810.48041708992,89718.70596655805,16196.97696099037,16334.106396993175,0.0,7680.372790373422,5828.514392832301,638.7294702083328,112.81438392361109,564.7920854513883,9,4358.7172070746565,19614.227431835956
2025-02-17,82329.41405346009,51975.422935932234,0.0,0.0,51975.422935932234,18953.47611517302,15744.654086795457,7922.740525082526,5828.514392832301,7213.037994712268,100.81413638888894,177.3356105902778,252.11673468750035,9,4519.977143952539,20339.897147786425
2025-02-18,79688.77663825278,50588.181950706676,0.0,0.0,50588.181950706676,18880.01853808642,16762.71872818434,5506.150961684027,7213.037994712268,7454.739262737779,106.09397656250006,121.95079482638887,181.9241075694446,9,4487.674756165929,20194.53640274668
2025-02-19,79665.1184985801,50697.60997737767,8.303138888888839,36.36359676388867,50733.973574141564,19488.250359959307,17992.924487544606,5334.130575169811,7454.739262737779,6976.709171438457,107.43500399305557,118.92687625000003,195.21337920138905,9,4253.764690846816,19141.94110881067
2025-02-20,76758.24178664175,48781.827656448004,23.307182499999726,109.17084282999872,48890.998499278,19295.743895003972,17544.184933306587,3958.155788995521,6976.709171438457,6789.064434602859,114.83259406250012,143.21428107638891,222.9039943750003,9,4915.642746028655,22120.39235712895
2025-02-21,51236.24417063788,29721.183796886256,0.0,0.0,29721.183796886256,15480.157133222945,10470.182250451599,20681.80958786654,6789.064434602859,10438.289815257469,867.3227070486116,127.72934722222222,995.0295707291671,9,4795.119669782499,21578.038514021246
2025-02-22,32303.826814950433,17732.492962683766,0.0,0.0,17732.492962683766,15111.451352268989,16391.389517403193,5805.367638417973,10438.289815257469,7496.2296924571465,217.7577667708337,72.06736340277777,233.14545552083365,9,4239.501240714377,19077.755583214697
2025-02-23,60178.6981402416,36348.4969910643,11333.193080740737,60351.09670389749,96699.59369496179,14665.375382811457,14853.831562940239,153.17642611111114,7496.2296924571465,5751.713137974911,652.9464145138883,151.51977083333333,525.3692587499994,9,4959.799921606968,22319.099647231356
2025-02-24,76713.80412687044,47720.5284638575,118.2261685075916,733.515138715408,48454.043602572914,20451.071082246075,17118.56202311598,5281.682327914608,5751.713137974911,7108.753947643448,107.7370881597223,160.1955954861112,230.59826642361153,9,5265.290926672834,23693.80917002775
2025-02-25,74696.93955333135,46773.331615529845,15.15772916666674,68.56863905208367,46841.90025458193,18659.17585767516,16672.618072597645,6891.450930753834,7108.753947643448,7235.919883375534,105.77615760416661,255.10726274305557,318.6531770833337,9,5266.744806280254,23700.351628261145
2025-02-26,73603.49328568135,46324.940155043936,316.1657913303045,1858.6557259360754,48183.595880980014,18908.092954522082,17040.14069688518,3240.18561937476,7235.919883375534,7211.826450021872,108.08186493055554,109.5992146875,168.15534892361123,9,5180.33830578838,23311.522376047713
2025-02-27,71527.32158839783,45394.32312828791,66.70639256481542,408.7556018364759,45803.07873012439,18307.715989853485,18207.311721220114,4459.832345662604,7211.826450021872,5387.859132469461,100.0059769791668,176.25262423611113,235.14667690972246,9,5144.753050604952,23151.388727722282
2025-02-28,47923.53986078383,28096.2488661706,0.0,0.0,28096.2488661706,15883.838876605625,10363.261518333333,19141.683619178202,5387.859132469461,9532.754988327943,865.3652608333338,141.46561826388884,932.8017165972227,9,4443.702179050419,19996.659805726886
2025-03-01,32179.453639860236,17492.821035562403,0.0,0.0,17492.821035562403,13749.26169053373,14532.980720819865,9317.702570146372,9532.754988327943,7257.343158294258,332.81142347222266,136.22954267361112,330.576750104167,9,3731.172399621462,16790.275798296578
2025-03-02,56420.20143556391,33855.99529002529,16106.968516714112,87023.09476892266,120879.09005894794,12427.212682789954,12214.283838845264,0.0,7257.343158294258,6171.846632266585,580.4879998263883,209.15399114583334,731.5061827083327,9,4773.730360562771,21481.78662253247
2025-03-03,73415.19575164877,45845.162296254755,2697.0202213565426,14259.148741914838,60104.311038169595,20719.87622272851,17737.641150124437,1118.9492254012334,6171.846632266585,7131.331691402472,145.901303715278,158.68817954861115,210.11856854166658,9,5167.889894069809,23255.504523314143
2025-03-04,71803.31066039139,45064.927714761005,76.69593896666339,506.61941372761703,45571.54712848862,20094.598445326887,18086.29038614605,677.661148510562,7131.331691402472,7130.117603039977,125.40382951388918,119.84002822916663,172.29232468750013,9,5176.360071300457,23293.620320852056
2025-03-05,72429.24039904584,45020.62564791788,0.7785000000002356,3.541785750001072,45024.16743366788,19269.53390378133,17231.006983403197,4275.321837001036,7130.117603039977,7247.726430168361,127.79137197916684,142.1662813888889,234.54844906250028,9,5299.304541748444,23846.870437867998
2025-03-06,67954.0889257471,43468.62642422657,786.3645895833317,3951.5508460144188,47420.17727024099,15656.657593137754,16503.18688962036,3589.272345146373,7247.726430168361,4705.049584530529,142.85687225694457,99.87780795138886,194.26094229166677,9,5019.354281131262,22587.09426509068
2025-03-07,46445.49743933001,27146.287854036163,0.0,0.0,27146.287854036163,15491.114093979142,9645.583124618268,19639.37326996914,4705.049584530529,9233.873448924303,949.7395329166673,107.29961309027772,958.5065869791671,9,4286.577024460589,19289.59661007265
2025-03-08,29871.108111607915,16635.800971820267,0.0,0.0,16635.800971820267,15346.853424614628,15247.819439264196,10757.625401257485,9233.873448924303,7720.564044130093,206.54572510416705,172.6206771527778,378.8346504513893,9,3568.3703368331835,16057.666515749326
2025-03-09,54174.986262654376,32552.47192890679,9091.196599916664,46605.61803210163,79158.08996100842,15841.0532368224,16481.50821925135,598.5330866666674,7720.564044130093,5375.67159089251,639.4369945138883,230.18517378472222,494.1682542708329,9,4732.541624106648,21296.437308479915
2025-03-10,72335.84083493298,45168.12275802146,136.3998009166667,915.581730503458,46083.70448852492,21524.211416551254,17518.139041849747,424.6778944814785,5375.67159089251,7329.59155222789,119.38101906249993,150.22593128472218,233.06563972222233,9,5013.506756730585,22560.78040528763
2025-03-11,70510.6893065368,44204.31523256259,503.31504512242793,2614.7147566334634,46819.02998919605,17918.51542557379,15908.597311183083,5030.298520601855,7329.59155222789,7559.453901740569,106.78450562500014,171.33004246527776,246.03938329861143,9,5001.410737510499,22506.348318797245
2025-03-12,68106.00282173873,42740.78210587541,386.12216133333396,2221.9271959021607,44962.70930177758,17869.265384799637,16474.485399138845,4697.078855744614,7559.453901740569,7146.09514057653,101.1244925694445,154.7144819444445,229.06890861111145,9,4258.94826257374,19165.267181581832
2025-03-13,64619.73844515177,40972.47384342413,1488.0013793333442,8236.359463169327,49208.83330659346,15525.903346638304,17075.19176965319,49.798730833333366,7146.09514057653,3876.4278405904406,102.30915072916663,234.92342892361108,302.4399043749999,9,4249.020142191908,19120.59063986359
2025-03-14,45124.7024075903,26413.865154343155,0.0,0.0,26413.865154343155,15968.16795871068,9323.133355666667,22424.885279546288,3876.4278405904406,9197.716639019503,874.5524080208337,225.24809604166674,1083.8842460763894,9,3594.0982727020228,16173.442227159103
2025-03-15,29001.833725581062,15914.578403796135,0.0,0.0,15914.578403796135,15285.364027846268,15664.57454408853,8562.292383489988,9197.716639019503,7186.774817921571,209.73124815972247,197.1875703819444,305.7465431944446,9,2905.0503546729597,13072.726596028318
2025-03-16,51578.1949116405,30987.680729439508,11260.661434315307,57441.84527098689,88429.5260004264,14008.150309722218,14758.949731840483,268.7813347407458,7186.774817921571,4918.774045153754,658.2236780208328,163.45379715277772,586.6321858680551,9,3695.329604137778,16628.98321862
2025-03-17,71099.06620606744,43624.55170758097,23.68008333333361,50.62801816666725,43675.179725747636,19617.808706785447,15321.184864236533,8911.505555185184,4918.774045153754,7379.914635136019,103.85655621527769,321.85218895833333,374.5539805902783,9,4157.258726380747,18707.664268713364
2025-03-18,65262.408975931874,40260.693540198976,538.9338258333337,2652.1021147508345,42912.79565494981,19358.025800151983,17708.508580701597,3036.8641323148177,7379.914635136019,7078.143368420239,102.79137597222231,146.3693010763889,211.18552621527797,9,4172.402989341225,18775.813452035512
2025-03-19,65846.16289337991,40736.88350953979,0.0,0.0,40736.88350953979,20030.607526525902,17765.412801088383,4083.358509609052,7078.143368420239,7354.4568371232335,100.65549510416666,153.89430600694442,199.14527715277802,9,4027.8658963324797,18125.396533496158
2025-03-20,63967.64722328048,40131.451983749146,409.276227476851,2450.801599098306,42582.25358284745,16724.402542748496,17450.77064192635,2830.656524935186,7354.4568371232335,4825.890814740317,109.02990253472232,90.61741652777779,157.7387404513891,9,4041.5084796616243,18186.78815847731
2025-03-21,40296.77673891123,23977.438255994522,0.0,0.0,23977.438255994522,14439.33008373525,9442.486462118266,23270.832933960908,4825.890814740317,8570.987435018633,844.7196440972227,227.39586829861113,1069.6903667708339,9,3393.1999014290236,15269.399556430606
2025-03-22,28167.011332947517,15318.010949313128,76.68313999999917,315.6844782329965,15633.695427546125,15425.578800784007,14889.832460205082,11906.498399035256,8570.987435018633,7509.714888565661,226.3206336458337,123.3338802777778,287.7860932291671,9,3050.492135479477,13727.214609657645
2025-03-23,48557.72526995748,29104.350359365122,9636.21676219166,52244.62784464793,81348.97820401305,14057.868222825753,14790.691813176609,134.13546416666634,7509.714888565661,5255.421578007604,663.6588456597218,220.1893989930556,533.9420348611106,9,3616.978118629195,16276.401533831377
2025-03-24,65541.33786567723,39987.65640324782,182.34577607709048,1134.6073209135748,41122.26372416139,21225.095792263935,17280.622413063393,3805.277304220448,5255.421578007604,7175.94005210552,93.74954142361106,147.63668833333338,210.99562503472248,9,3958.35542150322,17812.59939676449
2025-03-25,63504.56703652597,39083.26929202584,325.729926568765,1658.0798026924926,40741.34909471833,19574.625779812683,17934.925240012464,1215.8214566278532,7175.94005210552,6840.989453909017,114.19304416666657,142.9740542013889,210.7057298263889,9,4002.6854911085193,18012.084709988336
2025-03-26,64190.23132251206,39467.325391740385,0.0,0.0,39467.325391740385,19238.619389815503,16824.374973951602,6203.494206648156,6840.989453909017,7357.897971103392,89.94125381944443,233.33204062500008,285.66824645833384,9,4101.361803986071,18456.12811793732
2025-03-27,60297.4686529831,37491.44805724523,0.0,0.0,37491.44805724523,15992.208233859837,17573.63970834048,3104.861644130422,7357.897971103392,4005.1960690011033,101.90851715277786,113.56692437500001,180.91136861111127,9,4183.6276708849055,18826.324518982074
2025-03-28,38662.443096611205,22391.469619407406,0.0,0.0,22391.469619407406,14644.426023009037,9707.195323396047,22948.850546998216,4005.1960690011033,7665.836141877323,878.3377282291669,136.95300565972218,987.255494305556,9,3401.884839719619,15308.481778738285
2025-03-29,27225.129935631125,14555.421841177089,0.0,0.0,14555.421841177089,14833.882720740821,14691.88693118199,19412.33796273896,7665.836141877323,6251.884314885395,190.21108927083364,288.05611611111107,472.03867079861146,9,3024.7172759014147,13611.227741556366
2025-03-30,44214.14201234437,26964.925403928304,10962.144728368268,55233.20271483616,82198.12811876446,12757.49528016011,12907.903239447469,0.0,6251.884314885395,4748.582327558287,680.7155268749993,178.90705722222222,560.2612270138883,9,3417.19055366236,15377.35749148062
2025-03-31,63262.234537554,38429.38779886381,658.6321688425975,3644.509294074237,42073.89709293805,19324.458043068953,15411.388252682911,3003.2438493438995,4748.582327558287,6836.343322348859,103.45230822916685,174.3550129861111,239.46693843750006,9,4007.9176475454037,18035.629413954317
2025-04-01,62067.804789984584,38057.98714218607,166.8292092708347,1094.5391540859757,39152.52629627205,18236.03419950622,16435.489597537075,248.19054728628467,6836.343322348859,6812.037194024621,109.70405277777778,188.64004538194445,253.3038324652777,9,4034.4550879274893,18155.047895673702
2025-04-02,61078.4414976581,37435.07078125824,1416.3635189191523,7109.557365601891,44544.62814686013,18945.553488263453,17092.248500852853,171.76712916666668,6812.037194024621,6768.555495231659,95.25492263888877,246.0057451041666,287.1138177430554,9,3846.8761749493683,17310.942787272157
2025-04-03,59698.762312810315,37060.87968010244,51.64040908332952,323.81388893785106,37384.69356904029,16090.56706043036,17212.958167016415,4924.541020146372,6768.555495231659,3889.3566959674113,104.06380739583327,180.2456347222222,231.4472696180557,9,3947.8492408627144,17765.321583882214
2025-04-04,37024.9664310438,21425.62635964054,0.0,0.0,21425.62635964054,13869.626990237919,9148.974741405304,25908.83401554452,3889.3566959674113,7403.374025733155,866.9855331597228,204.0981025,1064.6088279513895,9,3226.0594005517382,14517.267302482822
2025-04-05,26876.85285533053,14265.903409362136,0.0,0.0,14265.903409362136,13449.86608707585,13748.046958291685,15189.900743213035,7403.374025733155,5671.323421174153,178.9023261458336,167.55253899305555,257.90005715277783,9,2455.86031115141,11051.371400181344
2025-04-06,43670.552043603944,25912.268222020735,10149.452807451606,51618.764010755214,77531.03223277595,13322.375070722217,13932.23298633333,0.0,5671.323421174153,3624.175098151891,639.647699756944,113.23676618055555,564.3400819791661,9,3565.864438520902,16046.389973344058
2025-04-07,63063.55340575979,37717.28854420303,0.0,0.0,37717.28854420303,20604.558445168932,15449.153167266413,4705.004427857277,3624.175098151891,6886.538249000607,101.0788906944445,168.52097520833328,235.76430708333342,9,3862.86246304694,17382.88108371123
2025-04-08,60898.169035783,36757.72445560747,230.75848185647624,1353.4681070266915,38111.19256263416,18931.88828761212,17246.57908904672,5099.254410740748,6886.538249000607,6667.413878809845,95.20103857638887,205.2210059027778,260.31758413194444,9,3848.595008751608,17318.677539382235
2025-04-09,61285.96299714071,37195.87956046205,937.2570808333369,3650.623173850219,40846.50273431227,18628.859879403757,16400.442764997897,842.9186969015209,6667.413878809845,7052.71751724918,97.73167076388884,182.93578395833336,246.58867458333324,9,3894.20404906719,17523.918220802356
2025-04-10,58162.01208431332,35735.47833261105,667.6356718333353,4312.13023715876,40047.60856976981,15577.393225421805,16485.73034520622,5214.281600931073,7052.71751724918,4453.244703303551,100.54600892361103,181.86134770833337,237.92564795138904,9,3967.954307060796,17855.794381773583
2025-04-11,37555.671806391765,21705.870317000998,0.0,0.0,21705.870317000998,13443.426146650707,8553.906344386787,27361.00837912785,4453.244703303551,8190.189577197684,845.8412635069448,184.92605472222223,999.3161775347226,9,2580.9955892608964,11614.480151674034
2025-04-12,25393.518403472684,13425.459915328514,0.0,0.0,13425.459915328514,13192.749006631402,14070.343082379164,17323.364304220446,8190.189577197684,5874.486348390633,210.36651500000042,175.63179402777777,318.5534380555557,9,2439.4261461463902,10977.417657658756
2025-04-13,41724.92761351136,24814.44461410849,11396.019144118272,59475.467498517064,84289.91211262555,11078.6809922963,12267.692051333324,0.0,5874.486348390633,3453.363131626298,664.6259633333326,107.7494831597223,631.1852776041661,9,3470.3733173494174,15616.679928072379
2025-04-14,60722.46433491574,36275.38384565451,0.0,0.0,36275.38384565451,21089.819005910267,16167.706668784931,3276.293864457073,3453.363131626298,6418.662976490355,105.39898520833326,161.50047423611113,207.07266312500013,9,3749.3527973716928,16872.087588172617
2025-04-15,58194.353298976785,35163.481247864926,331.33679683333384,1353.5057350095854,36516.986982874514,16529.23065207654,15089.094655599747,6926.875765999992,6418.662976490355,6194.365711883579,97.28781593750004,250.41885093749994,312.77599951388913,9,3920.8825321677787,17643.971394755004
2025-04-16,58473.380610069595,35210.11059271004,156.50324271673105,645.6132964309667,35855.72388914101,18015.08209987791,16426.58227894234,1307.4143318507572,6194.365711883579,5969.835155174149,92.64209552083321,140.52137590277778,187.72315670138883,9,3901.2819956253516,17555.768980314082
2025-04-17,56211.99062149135,34436.688655272956,0.0,0.0,34436.688655272956,14800.531171835954,15755.35145679629,4211.507639785023,5969.835155174149,3403.2532335281694,84.42369312500003,133.7021446875,177.24511295138922,9,3916.3181744961266,17623.43178523257
2025-04-18,36636.38502631794,20811.229816034524,0.0,0.0,20811.229816034524,13634.063189308366,8293.677151534936,24935.07468021117,3403.2532335281694,7595.357940141054,873.8197352083337,121.54839222222225,891.3957592361118,9,2686.838157777877,12090.771710000447
2025-04-19,25838.65996313064,13307.003782536221,0.0,0.0,13307.003782536221,14854.910764265373,14093.605452299622,18380.036859498225,7595.357940141054,6831.999118552287,206.4645453125003,149.00151027777775,298.12657559027804,9,2404.5272845883333,10820.3727806475
