hour,price_yuan_per_kwh,load_kwh,pv_kwh,B_kwh,A_kwh,I_kwh,S1_kwh,e_kwh,kappa
6.166666666666667,1.034,880.6524999999999,0.1456,0.0,0.0,0.0,6955.0870470837945,47.17356666666672,0.0
6.333333333333333,1.0263,843.4534,0.0509666666666666,0.0,0.0,0.0,6076.676585925911,10.069100000000049,0.0
6.5,1.0245,844.5566666666666,11.3125,0.0,0.0,0.0,5198.360114687372,0.0,0.0
6.666666666666667,0.9686,856.4900833333332,49.18221666666666,0.0,0.0,0.0,4347.382904141307,0.0,0.0
6.833333333333333,0.9242,856.4288833333333,95.94115,0.0,184.5066052968442,184.5066052968442,3740.245486185183,0.0,0.0
7.0,0.9253,843.9733333333334,140.35625,0.0,0.0,0.0,2998.567958205905,0.0,0.0
7.166666666666667,0.9394,836.8953833333333,186.21315,0.0,0.0,0.0,2312.688661426416,0.0,0.0
7.333333333333333,0.9279,844.6873499999999,237.52846666666667,0.0,555.6902969444443,555.6902969444443,2258.436007780406,0.0,0.0
7.5,0.8682,853.54,289.1375,482.1457,1301.3557344161936,1301.3557344161936,2957.5712327153537,0.0,0.0
7.666666666666667,0.8113,857.8756166666667,331.9810333333333,1028.6556550537784,1233.0456305555556,1233.0456305555556,3628.433620414006,0.0,0.0
7.833333333333333,1.0171,961.71985,377.3363333333333,0.0,0.0,0.0,3012.4393071721274,0.0,0.0
8.0,1.3485,1129.0783333333334,432.82499999999993,0.0,0.0,0.0,2278.523853232872,0.0,0.0
8.166666666666666,1.375,1201.4997166666667,499.1105333333333,0.0,0.0,0.0,1538.1406454999003,0.0,0.0
8.333333333333334,1.2826,1200.7480666666663,583.1029,0.0,0.0,0.0,1200.0,296.8567838888913,0.0
8.5,1.241,1182.655,664.275,0.0,0.0,0.0,1200.0,518.38,0.0
8.666666666666666,1.2326,1175.5947666666666,713.51315,0.0,0.0,0.0,1200.0,462.0816166666666,0.0
8.833333333333334,1.1981,1151.5207999999998,779.6644666666666,0.0,0.0,0.0,1200.0,371.8563333333332,0.0
9.0,1.1409,1116.0749999999998,838.6499999999999,0.0,0.0,0.0,1200.0,277.42499999999995,0.0
9.166666666666666,1.1182,1110.3483666666666,819.0319166666666,0.0,0.0,0.0,1200.0,291.31645000000003,0.0
9.333333333333334,1.1147,1126.6580833333333,825.3525833333333,0.0,0.0,0.0,1200.0,301.30549999999994,0.0
9.5,1.1048,1145.525,881.40625,0.0,0.0,0.0,1200.0,264.11874999999986,0.0
9.666666666666666,1.0837,1152.4097,909.4561333333332,0.0,0.0,0.0,1200.0,242.9535666666667,0.0
9.833333333333334,1.0955,1149.2711833333333,927.2711333333332,0.0,0.0,0.0,1200.0,222.00005,0.0
10.0,1.1368,1151.7933333333333,945.6,0.0,0.0,0.0,1200.0,206.19333333333327,0.0
10.166666666666666,1.1407,1171.08035,955.2515666666666,0.0,0.0,0.0,1200.0,215.82878333333332,0.0
10.333333333333334,1.0367,1164.08385,994.2167333333332,0.0,0.0,0.0,1200.0,169.86711666666667,0.0
10.5,0.9529,1133.435,1063.1999999999998,0.0,0.0,0.0,1200.0,70.23500000000013,0.0
10.666666666666666,1.0596,1126.10865,1123.349333333333,0.0,0.0,0.0,1200.0,2.759316666666791,0.0
10.833333333333334,0.9302,1129.556733333333,1174.0863333333332,0.0,0.0,0.0,1242.24448778887,0.0,0.0
11.0,0.6011,1124.71,1196.5749999999998,0.0,0.0,0.0,1310.4216130032698,0.0,0.0
11.166666666666666,0.5534,1107.9091,1170.1048666666666,538.9007549999995,538.9007549999995,538.9007549999995,1880.671843624695,0.0,0.0
11.333333333333334,0.5986,1100.46545,1175.3745333333331,566.2110633333335,566.2110633333335,566.2110633333335,2488.8918188110574,0.0,0.0
11.5,0.5901,1115.6583333333333,1214.78125,430.77518920547845,56.559995872145855,56.559995872145855,2636.585597728488,0.0,0.0
11.666666666666666,0.5868,1137.6030166666665,1212.2393333333332,676.1017674999998,663.7815563888892,663.7815563888892,3337.1103008782784,0.0,0.0
11.833333333333334,0.6027,1095.5047333333332,1191.8519,721.7229183333336,694.210371111111,694.210371111111,4087.099033115994,0.0,0.0
12.0,0.6096,1019.7266666666666,1164.2937499999998,713.5812666666667,713.5812666666667,241.7921279761908,4453.631563933309,0.0,0.0
12.166666666666666,0.5791,1013.7732166666666,1112.1007,667.9795072222224,667.9795072222224,260.2072245436512,4793.767453067624,0.0,0.0
12.333333333333334,0.5919,1018.2146166666666,1063.0811166666667,682.8030477777781,682.8030477777781,305.8193693253957,5126.457280158952,0.0,0.0
12.5,0.6256,1009.425,1042.1687499999998,731.4871166666668,658.4609958333332,647.9835059211507,5772.251858379105,0.0,0.0
12.666666666666666,0.5944,1026.5980833333333,1059.3108,734.5524188888892,644.0093561111112,644.0093561111112,6414.246786245507,0.0,0.0
12.833333333333334,0.6711,1049.9638833333331,1120.65875,761.3630619444444,660.0098163888888,660.0098163888888,7107.454114867607,0.0,0.0
13.0,0.857,1065.7866666666666,1177.84375,0.0,0.0,0.0,7213.760798254195,0.0,0.0
13.166666666666666,0.9589,1077.133733333333,1164.593933333333,0.0,0.0,0.0,7296.732829238353,0.0,0.0
13.333333333333334,0.9574,1069.0212166666663,1153.4299999999998,0.0,0.0,0.0,7376.810032195451,0.0,0.0
13.5,0.9219,1050.3233333333333,1149.2375,0.0,0.0,0.0,7470.648250052703,0.0,0.0
13.666666666666666,0.936,1049.649133333333,1084.432733333333,0.0,0.0,0.0,7503.646870418773,0.0,0.0
13.833333333333334,0.9722,1060.07295,1011.6798666666666,0.0,0.0,0.0,7452.636081641551,0.0,0.0
14.0,1.0069,1064.5666666666666,979.10625,0.0,0.0,0.0,7362.552892823657,0.0,0.0
14.166666666666666,1.0349,1050.44015,987.2143833333332,0.0,0.0,0.0,7295.907082997985,0.0,0.0
14.333333333333334,1.0005,1026.2817333333332,990.40855,0.0,0.0,0.0,7258.093427579943,0.0,0.0
14.5,0.9662,1013.0383333333332,965.675,0.0,0.0,0.0,7208.168090609573,0.0,0.0
14.666666666666666,1.0314,1028.4426166666667,921.5002,0.0,0.0,0.0,7095.440885559768,0.0,0.0
14.833333333333334,0.9365,1049.7335333333333,858.4299333333333,0.0,0.0,0.0,6893.789185363172,0.0,0.0
15.0,0.7187,1054.8583333333331,795.4499999999999,1082.1295333333333,979.4749333333332,979.4749333333332,7576.904342267192,0.0,0.0
15.166666666666666,0.7012,1040.1879333333331,755.0220666666667,312.8937536111114,312.8937536111114,312.8937536111114,7603.20932550162,0.0,0.0
15.333333333333334,0.803,1031.2979833333334,693.44105,353.0233663888886,353.0233663888886,353.0233663888886,7617.597467232426,0.0,0.0
15.5,0.8809,1041.513333333333,621.05,616.5599870370406,616.5599870370406,616.5599870370406,7803.631087404728,0.0,0.0
15.666666666666666,0.8704,1055.8662,591.3484333333333,386.7728544444444,386.7728544444444,386.7728544444444,7721.680754367367,0.0,0.0
15.833333333333334,0.8451,1028.0276,550.5002666666667,423.8608730555556,423.8608730555555,423.8608730555555,7665.11133822179,0.0,0.0
16.0,0.8586,996.8733333333332,492.4,306.8419336985364,306.8419336985364,306.8419336985364,7456.789551550814,0.0,0.0
16.166666666666668,0.898,1042.7229666666667,463.12813333333327,535.641428611111,535.641428611111,535.641428611111,7410.458594937007,0.0,0.0
16.333333333333332,0.908,1046.9732333333332,418.5814,547.5181755555557,547.5181755555557,547.5181755555557,7325.210274508084,0.0,0.0
16.5,0.9171,991.055,346.85624999999993,555.6293960403532,555.6293960403532,555.6293960403532,7231.849978040705,0.0,0.0
16.666666666666668,0.9989,979.2574833333332,282.87446666666665,549.9354022222221,549.9354022222221,549.9354022222221,7077.480638193165,0.0,0.0
16.833333333333332,1.0399,1004.0248166666668,226.67995,580.4915786111112,580.4915786111114,580.4915786111114,6869.979053143574,0.0,0.0
17.0,1.0323,1025.035,171.60625,652.9294166666666,652.9294166666666,652.9294166666666,6658.634198917356,0.0,0.0
17.166666666666668,1.0804,1014.4073166666668,114.65943333333333,730.6823177777778,730.6823177777778,730.6823177777778,6480.423445230667,0.0,0.0
17.333333333333332,1.1229,1005.5283833333332,57.53771666666666,675.4077348888891,675.4077348888891,675.4077348888891,6193.0958066626445,0.0,0.0
17.5,1.1079,1022.3433333333334,14.025,754.7471666666667,754.7471666666667,754.7471666666667,5925.808328125034,0.0,0.0
17.666666666666668,1.0676,1034.0671,0.4415333333333333,819.1914980555554,819.1914980555554,819.1914980555554,5699.774973209057,0.0,0.0
17.833333333333332,1.1529,901.2168333333334,0.0308333333333333,748.1029552777775,748.1029552777775,748.1029552777775,5538.411275717177,0.0,0.0
18.0,1.3018,708.8433333333334,0.0,0.0,0.0,0.0,4791.224796530748,0.0,0.0
18.166666666666668,1.2971,697.6077,0.0,0.0,591.3296491666666,591.3296491666666,4679.197894558584,0.0,0.0
18.333333333333332,1.2645,731.1457333333333,0.0022166666666666,0.0,617.8546624147174,617.8546624147174,4559.780956909581,0.0,0.0
18.5,1.2898,718.85,0.0,0.0,631.1307499999998,631.1307499999998,4467.316748695672,0.0,0.0
18.666666666666668,1.3246,706.44715,0.0,642.0807566666666,642.0807566666665,642.0807566666665,4399.468612794468,0.0,0.0
18.833333333333332,1.2981,712.6566833333333,0.0,624.2888133333333,624.2888133333333,624.2888133333333,4306.32069906858,0.0,0.0
19.0,1.2316,719.685,0.0,0.0,341.5873127383745,341.5873127383745,3907.770742472324,0.0,0.0
19.166666666666668,1.2209,701.4051833333333,0.0,0.0,0.0,0.0,3168.4247618118884,0.0,0.0
19.333333333333332,1.2747,708.1154666666666,0.0,0.0,0.0,0.0,2422.0055214586528,0.0,0.0
19.5,1.3258,741.0283333333333,0.0,0.0,645.8301666666667,645.8301666666667,2321.657842878991,0.0,0.0
19.666666666666668,1.2925,747.8178666666665,0.0,0.0,620.2017933333333,620.2017933333333,2187.138690285521,0.0,0.0
19.833333333333332,1.2457,735.9541666666667,0.0,0.0,619.4627524999999,619.4627524999999,2064.3459580786302,0.0,0.0
20.0,1.2394,727.2883333333332,0.0,0.0,0.0,0.0,1297.7167417449325,0.0,0.0
20.166666666666668,1.2604,733.297,0.0,0.0,0.0,0.0,1200.0,640.5947591666671,0.0
20.333333333333332,1.2553,730.8136166666666,0.0,0.0,612.6699974999999,612.6699974999999,1200.0,118.14361916666668,0.0
20.5,1.2598,723.7950000000001,0.0,520.4351206595105,574.0243333333333,574.0243333333333,1200.0,149.77066666666678,0.0
20.666666666666668,1.3211,732.6165666666667,0.0,0.0,0.0,0.0,1200.0,732.6165666666667,0.0
20.833333333333332,1.1604,704.9573499999999,0.0,635.3544616666665,645.4018625,645.4018625,1200.0,59.55548749999991,0.0
21.0,0.8871,677.0266666666666,0.0,591.3108333333332,591.3108333333332,591.3108333333332,1200.0,85.71583333333342,0.0
21.166666666666668,0.9092,735.8803333333333,0.0,595.8489,595.8488999999996,595.8488999999996,1200.0,140.03143333333367,0.0
21.333333333333332,0.9619,751.4097333333334,0.0,613.5512750000001,613.5512750000001,613.5512750000001,1200.0,137.85845833333326,0.0
21.5,0.9494,716.3933333333332,0.0,672.524666574074,672.524666574074,672.524666574074,1200.0,43.86866675925921,0.0
21.666666666666668,0.9959,739.5762500000001,0.0,609.8622983333331,609.8622983333331,609.8622983333331,1200.0,129.71395166666696,0.0
21.833333333333332,0.7646,688.86955,0.0,581.9060199999999,581.9060199999999,581.9060199999999,1200.0,106.9635300000001,0.0
22.0,0.39,568.3783333333333,0.0,1286.975416666667,1286.975416666667,1286.975416666667,1881.7210509861463,0.0,0.0
22.166666666666668,0.3868,534.1026499999999,0.0,1326.7701125,1326.7701125,1326.7701125,2633.7114335679785,0.0,0.0
22.333333333333332,0.4444,556.3187333333333,0.0,1343.9629283333331,1343.9629283333331,1343.9629283333331,3380.9363261709204,0.0,0.0
22.5,0.395,560.0233333333333,0.0,1319.44025,1319.4402499999997,1319.4402499999997,4101.382471269606,0.0,0.0
22.666666666666668,0.3901,509.72985,0.0,1309.2889841666663,1309.2889841666663,1309.2889841666663,4859.910867657252,0.0,0.0
22.833333333333332,0.4305,508.66356666666667,0.0,494.5877266666666,494.5877266666666,494.5877266666666,4845.073629530551,0.0,0.0
23.0,0.456,557.5183333333333,0.0,185.6257246424664,185.62572464246645,185.62572464246645,4453.064400048927,0.0,0.0
23.166666666666668,0.4214,558.9646499999999,0.0,1331.7722933333332,1331.7722933333332,1331.7722933333332,5186.21410388504,0.0,0.0
23.333333333333332,0.4148,568.3421833333333,0.0,1335.3382841666664,1335.3382841666664,1335.3382841666664,5913.85049441549,0.0,0.0
23.5,0.4442,591.2833333333333,0.0,0.0,0.0,0.0,5290.583135805526,0.0,0.0
23.666666666666668,0.4312,571.4622833333333,0.0,0.0,0.0,0.0,4688.208998400922,0.0,0.0
23.833333333333332,0.4072,559.2689333333333,0.0,541.0396308333333,541.0396308333333,541.0396308333333,4668.993626382188,0.0,0.0
