strategy,date,event_hour,soc_kwh,scenario_count,node_count,objective,solve_seconds,max_eq_residual,max_ub_violation,latest_history_day,continuation_first_time,terminal_time,scenario_weight_sum,clip_rate,terminal_shortfall_expected_kwh,terminal_shortfall_binding_scenarios
D,2025-01-29,0,6041.455717800393,9,1,121213.98742692168,0.2111284999991767,1.8189894035458565e-12,2.1827872842550278e-11,26,2025-01-30 00:10:00,2025-01-31 00:10:00,1.0,0.0,0.0,0
D,2025-01-29,6,10780.021042945185,9,1,111208.73396870028,0.09708379999210592,1.8189894035458565e-12,1.4551915228366852e-11,26,2025-01-30 00:10:00,2025-01-31 00:10:00,1.0,0.0,0.0,0
D,2025-01-29,12,6948.7923194104405,9,1,91385.45230456052,0.06889629999932367,1.8189894035458565e-12,2.8421709430404007e-13,26,2025-01-30 00:10:00,2025-01-31 00:10:00,1.0,0.0,0.0,0
D,2025-01-29,18,10590.748245665514,9,1,73136.9673955901,0.0561842000024626,1.8189894035458565e-12,2.8421709430404007e-13,26,2025-01-30 00:10:00,2025-01-31 00:10:00,1.0,0.0,0.0,0
D,2025-01-30,0,7617.785614684809,9,1,96568.54368605491,0.16610889999719802,1.8189894035458565e-12,2.1827872842550278e-11,27,2025-01-31 00:10:00,2025-02-01 00:10:00,1.0,0.0,0.0,0
D,2025-01-30,6,10799.516034973969,9,1,87463.79056850365,0.14211070000601467,1.8189894035458565e-12,2.8421709430404007e-13,27,2025-01-31 00:10:00,2025-02-01 00:10:00,1.0,0.0,0.0,0
D,2025-01-30,12,6792.642789234077,9,1,71314.64582504153,0.11830669999471866,1.8189894035458565e-12,2.8421709430404007e-13,27,2025-01-31 00:10:00,2025-02-01 00:10:00,1.0,0.0,0.0,0
D,2025-01-30,18,10351.080665978647,9,1,46569.907416323644,0.08772339999268297,1.8189894035458565e-12,2.8421709430404007e-13,27,2025-01-31 00:10:00,2025-02-01 00:10:00,1.0,0.0,0.0,0
D,2025-01-31,0,6861.180920718183,9,1,77726.43195201564,0.2325107999931788,1.8189894035458565e-12,7.275957614183426e-12,28,2025-02-01 00:10:00,2025-02-02 00:10:00,1.0,0.0,0.0,0
D,2025-01-31,6,10800.0,9,1,68490.55418992342,0.1042586000112351,1.8189894035458565e-12,1.1368683772161603e-13,28,2025-02-01 00:10:00,2025-02-02 00:10:00,1.0,0.0,0.0,0
D,2025-01-31,12,10800.0,9,1,56359.919147752924,0.07335420000890736,1.8189894035458565e-12,1.1368683772161603e-13,28,2025-02-01 00:10:00,2025-02-02 00:10:00,1.0,0.0,0.0,0
D,2025-01-31,18,10800.0,9,1,44883.73284174845,0.057165400008670986,1.8189894035458565e-12,1.1368683772161603e-13,28,2025-02-01 00:10:00,2025-02-02 00:10:00,1.0,0.0,0.0,0
